date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-06-28,1227.0,1227.0,1196.35,1199.6,1189.36,12507092,12507092,-27.4,-2.23,1212.4875,"June 28, 24",-0.0223
2024-06-27,1228.35,1235.0,1209.1,1219.9,1209.49,20516632,20516632,-8.45,-0.68791,1223.0875,"June 27, 24",-0.0068791
2024-06-26,1202.0,1222.85,1193.85,1218.0,1207.6,25403461,25403461,16.0,1.33,1209.175,"June 26, 24",0.0133
2024-06-25,1170.25,1206.0,1167.65,1197.95,1187.73,27309845,27309845,27.7,2.37,1185.4625,"June 25, 24",0.0237
2024-06-24,1154.65,1175.65,1152.65,1170.1,1160.11,12210295,12210295,15.45,1.34,1163.2625,"June 24, 24",0.0134
2024-06-21,1163.55,1169.9,1150.65,1158.65,1148.76,69259425,69259425,-4.9,-0.42113,1160.6875,"June 21, 24",-0.0042113
2024-06-20,1154.05,1160.0,1135.5,1156.8,1146.93,15475933,15475933,2.75,0.23829,1151.5875,"June 20, 24",0.0023829
2024-06-19,1127.95,1165.55,1126.15,1144.45,1134.68,34309514,34309514,16.5,1.46,1141.025,"June 19, 24",0.0146
2024-06-18,1113.95,1135.05,1101.2,1122.85,1113.27,18306176,18306176,8.9,0.79896,1118.2625,"June 18, 24",0.0079896
2024-06-14,1114.0,1114.0,1099.45,1105.65,1096.21,11377979,11377979,-8.35,-0.74955,1108.275,"June 14, 24",-0.0074955
2024-06-13,1122.2,1123.2,1105.0,1107.35,1097.9,12494254,12494254,-14.85,-1.32,1114.4375,"June 13, 24",-0.0132
2024-06-12,1121.0,1133.4,1112.0,1119.55,1109.99,16096514,16096514,-1.45,-0.12935,1121.4875,"June 12, 24",-0.0012935
2024-06-11,1119.75,1129.05,1111.0,1118.2,1108.66,12250002,12250002,-1.55,-0.13842,1119.5,"June 11, 24",-0.0013842
2024-06-10,1116.0,1133.2,1115.1,1123.8,1114.21,10851455,10851455,7.8,0.69892,1122.025,"June 10, 24",0.0069892
2024-06-07,1110.4,1128.3,1103.6,1121.7,1112.13,17197635,17197635,11.3,1.02,1116.0,"June 07, 24",0.0102
2024-06-06,1118.0,1118.0,1096.6,1110.4,1100.92,18574162,18574162,-7.6,-0.67979,1110.75,"June 06, 24",-0.0067979
2024-06-05,1085.0,1123.25,1051.05,1108.65,1099.19,42172104,42172104,23.65,2.18,1091.9875,"June 05, 24",0.0218
2024-06-04,1157.9,1159.4,1053.55,1071.45,1062.3,43476837,43476837,-86.45,-7.47,1110.575,"June 04, 24",-0.0747
2024-06-03,1170.0,1173.0,1136.3,1160.0,1150.1,25699977,25699977,-10.0,-0.8547,1159.825,"June 03, 24",-0.008547
2024-05-31,1118.0,1130.6,1111.25,1121.05,1111.48,26197718,26197718,3.05,0.27281,1120.225,"May 31, 24",0.0027281
2024-05-30,1097.0,1121.0,1096.9,1113.7,1104.19,15255387,15255387,16.7,1.52,1107.15,"May 30, 24",0.0152
2024-05-29,1115.05,1123.55,1098.5,1102.0,1092.59,19268547,19268547,-13.05,-1.17,1109.775,"May 29, 24",-0.0117
2024-05-28,1132.5,1135.2,1125.0,1126.95,1117.33,9311718,9311718,-5.55,-0.49007,1129.9125,"May 28, 24",-0.0049007
2024-05-27,1131.9,1147.8,1121.55,1129.8,1120.16,11599857,11599857,-2.1,-0.18553,1132.7625,"May 27, 24",-0.0018553
2024-05-24,1130.0,1135.0,1124.15,1131.95,1122.29,6312670,6312670,1.95,0.17257,1130.275,"May 24, 24",0.0017257
2024-05-23,1115.55,1137.0,1111.4,1134.5,1124.82,13787687,13787687,18.95,1.7,1124.6125,"May 23, 24",0.017
2024-05-22,1125.0,1125.9,1098.1,1111.1,1101.62,17527411,17527411,-13.9,-1.24,1115.025,"May 22, 24",-0.0124
2024-05-21,1122.2,1133.8,1116.25,1120.95,1111.38,10452900,10452900,-1.25,-0.11139,1123.3,"May 21, 24",-0.0011139
2024-05-18,1131.0,1133.0,1126.9,1130.75,1121.1,312750,312750,-0.25,-0.02210433,1130.4125,"May 18, 24",-0.0002210433
2024-05-17,1131.05,1144.0,1120.6,1130.5,1120.85,8641784,8641784,-0.55,-0.04862738,1131.5375,"May 17, 24",-0.0004862738
2024-05-16,1133.0,1136.55,1112.8,1131.05,1121.4,14265565,14265565,-1.95,-0.17211,1128.35,"May 16, 24",-0.0017211
2024-05-15,1122.1,1127.8,1113.5,1124.35,1114.75,10743423,10743423,2.25,0.20052,1121.9375,"May 15, 24",0.0020052
2024-05-14,1125.9,1127.9,1118.55,1120.55,1110.99,8944262,8944262,-5.35,-0.47518,1123.225,"May 14, 24",-0.0047518
2024-05-13,1112.4,1130.65,1106.7,1128.0,1118.37,9707983,9707983,15.6,1.4,1119.4375,"May 13, 24",0.014
2024-05-10,1118.0,1128.9,1112.05,1117.05,1107.52,8573656,8573656,-0.95,-0.08497317,1119.0,"May 10, 24",-0.0008497317
2024-05-09,1120.55,1128.85,1110.0,1115.7,1106.18,12229853,12229853,-4.85,-0.43282,1118.775,"May 09, 24",-0.0043282
2024-05-08,1126.55,1132.0,1116.05,1123.0,1113.41,19913090,19913090,-3.55,-0.31512,1124.4,"May 08, 24",-0.0031512
2024-05-07,1147.95,1152.75,1126.3,1131.9,1122.24,15097728,15097728,-16.05,-1.4,1139.725,"May 07, 24",-0.014
2024-05-06,1141.55,1158.45,1138.1,1146.3,1136.52,14970524,14970524,4.75,0.4161,1146.1,"May 06, 24",0.004161
2024-05-03,1141.3,1157.4,1135.45,1142.05,1132.3,19933604,19933604,0.75,0.06571454,1144.05,"May 03, 24",0.0006571454
2024-05-02,1143.0,1155.5,1133.25,1139.45,1129.72,25118334,25118334,-3.55,-0.31059,1142.8,"May 02, 24",-0.0031059
2024-04-30,1159.95,1169.55,1146.75,1150.4,1140.58,29568491,29568491,-9.55,-0.82331,1156.6625,"April 30, 24",-0.0082331
2024-04-29,1108.0,1163.45,1107.9,1160.15,1150.25,28578063,28578063,52.15,4.71,1134.875,"April 29, 24",0.0471
2024-04-26,1112.15,1120.0,1102.75,1107.9,1098.44,14190059,14190059,-4.25,-0.38214,1110.7,"April 26, 24",-0.0038214
2024-04-25,1090.0,1125.65,1089.95,1113.75,1104.24,19905338,19905338,23.75,2.18,1104.8375,"April 25, 24",0.0218
2024-04-24,1092.25,1098.4,1089.0,1096.75,1087.39,5461309,5461309,4.5,0.41199,1094.1,"April 24, 24",0.0041199
2024-04-23,1100.0,1100.0,1082.7,1090.25,1080.94,9848215,9848215,-9.75,-0.88636,1093.2375,"April 23, 24",-0.0088636
2024-04-22,1078.8,1088.7,1070.35,1086.65,1077.38,10346714,10346714,7.85,0.72766,1081.125,"April 22, 24",0.0072766
2024-04-19,1052.95,1072.0,1048.1,1067.25,1058.14,11284433,11284433,14.3,1.36,1060.075,"April 19, 24",0.0136
2024-04-18,1074.0,1078.05,1050.45,1055.45,1046.44,16564216,16564216,-18.55,-1.73,1064.4875,"April 18, 24",-0.0173
2024-04-16,1070.55,1074.6,1062.7,1067.05,1057.94,11278092,11278092,-3.5,-0.32693,1068.725,"April 16, 24",-0.0032693
2024-04-15,1100.2,1106.15,1076.6,1078.35,1069.15,10526597,10526597,-21.85,-1.99,1090.325,"April 15, 24",-0.0199
2024-04-12,1103.5,1111.85,1095.8,1104.4,1094.97,12216657,12216657,0.9,0.08155868,1103.8875,"April 12, 24",0.0008155868
2024-04-10,1110.95,1116.55,1105.15,1109.4,1099.93,10598000,10598000,-1.55,-0.13952,1110.5125,"April 10, 24",-0.0013952
2024-04-09,1091.95,1115.25,1088.3,1107.05,1097.6,12298463,12298463,15.1,1.38,1100.6375,"April 09, 24",0.0138
2024-04-08,1078.35,1091.75,1076.3,1087.15,1077.87,8023461,8023461,8.8,0.81606,1083.3875,"April 08, 24",0.0081606
2024-04-05,1070.0,1086.0,1067.45,1083.4,1074.15,15340637,15340637,13.4,1.25,1076.7125,"April 05, 24",0.0125
2024-04-04,1084.75,1085.8,1063.45,1078.85,1069.64,21419689,21419689,-5.9,-0.5439,1078.2125,"April 04, 24",-0.005439
2024-04-03,1075.0,1083.65,1072.25,1077.2,1068.01,15477184,15477184,2.2,0.20465,1077.025,"April 03, 24",0.0020465
2024-04-02,1094.45,1094.45,1079.25,1081.2,1071.97,14380396,14380396,-13.25,-1.21,1087.3375,"April 02, 24",-0.0121
2024-04-01,1096.05,1102.95,1094.45,1099.65,1090.26,10848191,10848191,3.6,0.32845,1098.275,"April 01, 24",0.0032845
2024-03-28,1085.0,1105.05,1085.0,1093.3,1083.97,22070566,22070566,8.3,0.76498,1092.0875,"March 28, 24",0.0076498
2024-03-27,1083.7,1092.5,1079.55,1083.75,1074.5,26907245,26907245,0.05,0.00461382,1084.875,"March 27, 24",4.61382e-05
2024-03-26,1081.0,1089.15,1076.95,1083.7,1074.45,13367635,13367635,2.7,0.24977,1082.7,"March 26, 24",0.0024977
2024-03-22,1081.15,1093.7,1078.7,1090.3,1080.99,17214415,17214415,9.15,0.84632,1085.9625,"March 22, 24",0.0084632
2024-03-21,1092.0,1100.0,1079.15,1081.8,1072.57,19992607,19992607,-10.2,-0.93407,1088.2375,"March 21, 24",-0.0093407
2024-03-20,1080.0,1090.0,1067.5,1084.5,1075.24,18725251,18725251,4.5,0.41667,1080.5,"March 20, 24",0.0041667
2024-03-19,1078.45,1088.75,1075.25,1083.95,1074.7,16708715,16708715,5.5,0.50999,1081.6,"March 19, 24",0.0050999
2024-03-18,1075.05,1084.8,1060.05,1081.2,1071.97,8769440,8769440,6.15,0.57207,1075.275,"March 18, 24",0.0057207
2024-03-15,1072.0,1086.25,1070.0,1080.35,1071.13,66192734,66192734,8.35,0.77892,1077.15,"March 15, 24",0.0077892
2024-03-14,1080.0,1097.1,1075.05,1083.6,1074.35,14231421,14231421,3.6,0.33333,1083.9375,"March 14, 24",0.0033333
2024-03-13,1077.15,1089.65,1073.15,1083.95,1074.7,24855870,24855870,6.8,0.6313,1080.975,"March 13, 24",0.006313
